,id,preferredName,firstName,lastName,affiliation,coAuthors,articleCount,trends,bioParagraphs,publicTopic,terms,photoUrl
0,37086964072,Beijun Shen,Beijun,Shen,Shanghai Jiao Tong University,"[37087235023, 37087227393, 37087231663, 37087226899, 37086961986, 37087234016, 37086344502, 37085647667, 37086841749]",4,"[{'year': '2019', 'numRecords': 4}]",,"Java,Markov processes,copy protection,document handling,graph theory,industrial property,learning (artificial intelligence),mobile computing,neural nets,programming,public domain software,query processing,question answering (information retrieval),recommender systems,search problems,security of data,smart phones,software engineering,software quality,source code (software),source coding,ubiquitous computing,","[{'term': 'Java', 'numRecords': 1}, {'term': 'Markov processes', 'numRecords': 1}, {'term': 'copy protection', 'numRecords': 1}, {'term': 'document handling', 'numRecords': 1}, {'term': 'graph theory', 'numRecords': 1}, {'term': 'industrial property', 'numRecords': 1}, {'term': 'learning (artificial intelligence)', 'numRecords': 1}, {'term': 'mobile computing', 'numRecords': 1}, {'term': 'neural nets', 'numRecords': 1}, {'term': 'programming', 'numRecords': 1}, {'term': 'public domain software', 'numRecords': 1}, {'term': 'query processing', 'numRecords': 1}, {'term': 'question answering (information retrieval)', 'numRecords': 1}, {'term': 'recommender systems', 'numRecords': 1}, {'term': 'search problems', 'numRecords': 1}, {'term': 'security of data', 'numRecords': 1}, {'term': 'smart phones', 'numRecords': 1}, {'term': 'software engineering', 'numRecords': 1}, {'term': 'software quality', 'numRecords': 1}, {'term': 'source code (software)', 'numRecords': 1}, {'term': 'source coding', 'numRecords': 1}, {'term': 'ubiquitous computing', 'numRecords': 1}]",
1,37086386512,Lingming Zhang,Lingming,Zhang,University of Texas at Dallas,"[37086388355, 37085464508, 37086941984, 37265320100, 37086452188, 37087232478, 37087231343, 37087235636, 37085618982, 37266072000, 37085868372, 37295294800, 37087231040, 37085502125, 37087233137, 37086800214, 37087231301, 37086798379, 37085346278, 37087232542, 37086839488]",7,"[{'year': '2018', 'numRecords': 2}, {'year': '2019', 'numRecords': 5}]","['Lingming Zhang received the BS degree in computer science from Nanjing University, 2007, the MS degree in computer science from Peking University, 2010, and the PhD degree from the Department of Electrical and Computer Engineering, University of Texas at Austin, in May 2014. He is an assistant professor with the Computer Science Department, University of Texas at Dallas. His research interests lie broadly in software engineering and programming languages, including automated program analysis, testing, debugging, and verification, as well as software evolution and mobile computing. He has authored more than 30 papers in premier software engineering or programming language transactions and conferences, including ICSE, FSE, ISSTA, ASE, POPL, OOPSLA, TSE and TOSEM. He has also served on the program committee or artifact evaluation committee for various international conferences (including ASE, ICST, ICSM, ISSRE, OOPSLA, and ISSTA). His research is being supported by NSF and Google. More information available at: http://www.utdallas.edu/ lxz144130/. He is a member of the IEEE.']","program testing,Java,program debugging,program compilers,program verification,regression analysis,software maintenance,contracts,fault diagnosis,flow graphs,grammars,graph theory,graphics processing units,optimisation,parallel architectures,parallel programming,program diagnostics,program processors,programming languages,software engineering,source code (software),virtual machines,","[{'term': 'program testing', 'numRecords': 6}, {'term': 'Java', 'numRecords': 4}, {'term': 'program debugging', 'numRecords': 3}, {'term': 'program compilers', 'numRecords': 2}, {'term': 'program verification', 'numRecords': 2}, {'term': 'regression analysis', 'numRecords': 2}, {'term': 'software maintenance', 'numRecords': 2}, {'term': 'contracts', 'numRecords': 1}, {'term': 'fault diagnosis', 'numRecords': 1}, {'term': 'flow graphs', 'numRecords': 1}, {'term': 'grammars', 'numRecords': 1}, {'term': 'graph theory', 'numRecords': 1}, {'term': 'graphics processing units', 'numRecords': 1}, {'term': 'optimisation', 'numRecords': 1}, {'term': 'parallel architectures', 'numRecords': 1}, {'term': 'parallel programming', 'numRecords': 1}, {'term': 'program diagnostics', 'numRecords': 1}, {'term': 'program processors', 'numRecords': 1}, {'term': 'programming languages', 'numRecords': 1}, {'term': 'software engineering', 'numRecords': 1}, {'term': 'source code (software)', 'numRecords': 1}, {'term': 'virtual machines', 'numRecords': 1}]",https://ieeexplore.ieee.org//mediastore_new/IEEE/content/freeimages/32/8897053/8329518/zhang-2822270-small.gif
2,37086452162,Mojtaba Bagherzadeh,Mojtaba,Bagherzadeh,Queen's University,"[38523125100, 37299778400, 37085503147, 37087052320, 37085790415, 37086452618]",3,"[{'year': '2018', 'numRecords': 1}, {'year': '2019', 'numRecords': 2}]",,"Unified Modeling Language,program debugging,formal specification,program compilers,program diagnostics,software tools,","[{'term': 'Unified Modeling Language', 'numRecords': 3}, {'term': 'program debugging', 'numRecords': 2}, {'term': 'formal specification', 'numRecords': 1}, {'term': 'program compilers', 'numRecords': 1}, {'term': 'program diagnostics', 'numRecords': 1}, {'term': 'software tools', 'numRecords': 1}]",
3,37087233372,Shengcheng Yu,Shengcheng,Yu,Nanjing University,"[37085464508, 38252456000, 37087235110, 37087232747]",2,"[{'year': '2019', 'numRecords': 2}]",,"Android (operating system),authoring languages,computer vision,crowdsourcing,image recognition,mobile computing,program debugging,program testing,software quality,","[{'term': 'Android (operating system)', 'numRecords': 1}, {'term': 'authoring languages', 'numRecords': 1}, {'term': 'computer vision', 'numRecords': 1}, {'term': 'crowdsourcing', 'numRecords': 1}, {'term': 'image recognition', 'numRecords': 1}, {'term': 'mobile computing', 'numRecords': 1}, {'term': 'program debugging', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}, {'term': 'software quality', 'numRecords': 1}]",
4,37087232148,Trent Brunson,Trent,Brunson,Trail of Bits,"[37086359353, 37085796004, 37072473300, 37265320100, 37086876228, 37087233757, 37087230659]",1,"[{'year': '2019', 'numRecords': 1}]",,"application program interfaces,cryptography,distributed databases,program testing,","[{'term': 'application program interfaces', 'numRecords': 1}, {'term': 'cryptography', 'numRecords': 1}, {'term': 'distributed databases', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}]",
5,37087227393,Yuting Chen,Yuting,Chen,Shanghai Jiao Tong University,"[37087235023, 37087231663, 37087226899, 37086964072, 37087234016, 37086344502]",2,"[{'year': '2019', 'numRecords': 2}]",,"Markov processes,document handling,graph theory,learning (artificial intelligence),neural nets,query processing,question answering (information retrieval),search problems,software engineering,software quality,source coding,","[{'term': 'Markov processes', 'numRecords': 1}, {'term': 'document handling', 'numRecords': 1}, {'term': 'graph theory', 'numRecords': 1}, {'term': 'learning (artificial intelligence)', 'numRecords': 1}, {'term': 'neural nets', 'numRecords': 1}, {'term': 'query processing', 'numRecords': 1}, {'term': 'question answering (information retrieval)', 'numRecords': 1}, {'term': 'search problems', 'numRecords': 1}, {'term': 'software engineering', 'numRecords': 1}, {'term': 'software quality', 'numRecords': 1}, {'term': 'source coding', 'numRecords': 1}]",
6,37086800214,Xingya Wang,Xingya,Wang,Nanjing University,"[37086801401, 37536698700, 37086941586, 37405101000, 37087231343, 37086043920, 37086826694, 37086939137, 37086800637, 37086828791, 37086042441, 37086798379, 37087232542, 37086386512, 37086800227, 37086826667]",5,"[{'year': '2018', 'numRecords': 1}, {'year': '2019', 'numRecords': 4}]","['Xingya Wang received the Ph.D. degree from the China University of Mining and Technology, in 2017. He is currently holding a Postdoctoral position with the State Key Laboratory for Novel Software Technology, Nanjing University. His research interests include software testing and program debugging.']","program testing,contracts,Pareto optimisation,computer aided instruction,computer science education,cryptocurrencies,distributed databases,educational courses,genetic algorithms,load dispatching,power system security,power system stability,program debugging,program diagnostics,risk management,software engineering,source code (software),","[{'term': 'program testing', 'numRecords': 4}, {'term': 'contracts', 'numRecords': 2}, {'term': 'Pareto optimisation', 'numRecords': 1}, {'term': 'computer aided instruction', 'numRecords': 1}, {'term': 'computer science education', 'numRecords': 1}, {'term': 'cryptocurrencies', 'numRecords': 1}, {'term': 'distributed databases', 'numRecords': 1}, {'term': 'educational courses', 'numRecords': 1}, {'term': 'genetic algorithms', 'numRecords': 1}, {'term': 'load dispatching', 'numRecords': 1}, {'term': 'power system security', 'numRecords': 1}, {'term': 'power system stability', 'numRecords': 1}, {'term': 'program debugging', 'numRecords': 1}, {'term': 'program diagnostics', 'numRecords': 1}, {'term': 'risk management', 'numRecords': 1}, {'term': 'software engineering', 'numRecords': 1}, {'term': 'source code (software)', 'numRecords': 1}]",https://ieeexplore.ieee.org//mediastore_new/IEEE/content/freeimages/6287639/8600701/8651494/xwang-2901588-small.gif
7,38501961000,Iman Avazpour,Iman,Avazpour,"Deakin University, Geelong, Australia","[37085764992, 37069727800, 37085569311, 37321026700, 38235695100, 37085548478, 37889196000, 37086557879, 37087043433, 37086252167, 38235343600, 37086562328, 37086559273, 37267454600, 37297169700, 37086379354, 37086133223, 37323460900, 38027379100, 37085883619, 37268936300, 37321029500, 38259249100, 37086235459, 38019878600, 38253812300, 38253598400, 37617720800, 37086651631, 37727783600, 37542162300, 37086560579, 37085750275, 37563297200, 37296309100, 37086558975, 37085767973]",16,"[{'year': '2009', 'numRecords': 1}, {'year': '2012', 'numRecords': 3}, {'year': '2013', 'numRecords': 2}, {'year': '2014', 'numRecords': 1}, {'year': '2015', 'numRecords': 2}, {'year': '2016', 'numRecords': 3}, {'year': '2017', 'numRecords': 1}, {'year': '2018', 'numRecords': 1}, {'year': '2019', 'numRecords': 2}]","['Iman Avazpour received the Ph.D. degree in ICT from the Swinburne University of Technology, Melbourne, VIC, Australia, in 2014.', 'He is a Lecturer of Software Engineering with the School of Information Technology, Deakin University, Geelong, VIC, Australia. His current research interests include model driven engineering, user-centric computing, embedded systems, and Internet of Things.']","data visualisation,Internet,Internet of Things,authoring systems,cloud computing,computer aided instruction,computer science education,multimedia computing,pedestrians,project management,software engineering,town and country planning,traffic engineering computing,formal specification,data models,program testing,program visualisation,visual languages,authoring languages,competitive intelligence,computerised tomography,data integration,diseases,embedded systems,graph theory,","[{'term': 'data visualisation', 'numRecords': 5}, {'term': 'Internet', 'numRecords': 1}, {'term': 'Internet of Things', 'numRecords': 1}, {'term': 'authoring systems', 'numRecords': 1}, {'term': 'cloud computing', 'numRecords': 1}, {'term': 'computer aided instruction', 'numRecords': 1}, {'term': 'computer science education', 'numRecords': 1}, {'term': 'multimedia computing', 'numRecords': 1}, {'term': 'pedestrians', 'numRecords': 1}, {'term': 'project management', 'numRecords': 1}, {'term': 'software engineering', 'numRecords': 2}, {'term': 'town and country planning', 'numRecords': 1}, {'term': 'traffic engineering computing', 'numRecords': 1}, {'term': 'formal specification', 'numRecords': 5}, {'term': 'data models', 'numRecords': 2}, {'term': 'program testing', 'numRecords': 2}, {'term': 'program visualisation', 'numRecords': 2}, {'term': 'visual languages', 'numRecords': 2}, {'term': 'authoring languages', 'numRecords': 1}, {'term': 'competitive intelligence', 'numRecords': 1}, {'term': 'computerised tomography', 'numRecords': 1}, {'term': 'data integration', 'numRecords': 1}, {'term': 'diseases', 'numRecords': 1}, {'term': 'embedded systems', 'numRecords': 1}, {'term': 'graph theory', 'numRecords': 1}]",https://ieeexplore.ieee.org//mediastore_new/IEEE/content/freeimages/6488907/8863548/8743456/avazp-2924182-small.gif
8,37087234016,Qinyue Wu,Qinyue,Wu,Shanghai Jiao Tong University,"[37087235023, 37087227393, 37087231663, 37087226899, 37086964072]",1,"[{'year': '2019', 'numRecords': 1}]",,"graph theory,neural nets,query processing,question answering (information retrieval),software quality,source coding,","[{'term': 'graph theory', 'numRecords': 1}, {'term': 'neural nets', 'numRecords': 1}, {'term': 'query processing', 'numRecords': 1}, {'term': 'question answering (information retrieval)', 'numRecords': 1}, {'term': 'software quality', 'numRecords': 1}, {'term': 'source coding', 'numRecords': 1}]",
9,37314117400,Udo Kelter,U.,Kelter,University of Siegen,"[37085940422, 37564228100, 38228437600, 37314195100, 37085351168, 37321688900, 37949155100, 37303777800, 37682322200, 37394143400, 37689549500, 37085755471, 38152514600, 37085757169, 38241421300, 37085761998, 37087231894, 37305649400, 37086662176, 37265940100, 37434601100, 37085413211, 38202265300, 37303776800, 37085419959, 38242058500]",22,"[{'year': '1991', 'numRecords': 1}, {'year': '1992', 'numRecords': 1}, {'year': '1993', 'numRecords': 1}, {'year': '1995', 'numRecords': 1}, {'year': '2002', 'numRecords': 1}, {'year': '2003', 'numRecords': 1}, {'year': '2007', 'numRecords': 2}, {'year': '2008', 'numRecords': 1}, {'year': '2009', 'numRecords': 3}, {'year': '2011', 'numRecords': 2}, {'year': '2012', 'numRecords': 2}, {'year': '2013', 'numRecords': 1}, {'year': '2014', 'numRecords': 1}, {'year': '2015', 'numRecords': 1}, {'year': '2017', 'numRecords': 1}, {'year': '2018', 'numRecords': 1}, {'year': '2019', 'numRecords': 1}]",,"Unified Modeling Language,software maintenance,C language,automata theory,configuration management,formal specification,object-oriented programming,program diagnostics,program slicing,program testing,program verification,program visualisation,quality assurance,software product lines,software quality,software tools,software engineering,object-oriented databases,programming environments,XML,graph theory,open systems,software portability,specification languages,systems analysis,","[{'term': 'Unified Modeling Language', 'numRecords': 1}, {'term': 'software maintenance', 'numRecords': 1}, {'term': 'C language', 'numRecords': 1}, {'term': 'automata theory', 'numRecords': 1}, {'term': 'configuration management', 'numRecords': 5}, {'term': 'formal specification', 'numRecords': 1}, {'term': 'object-oriented programming', 'numRecords': 1}, {'term': 'program diagnostics', 'numRecords': 1}, {'term': 'program slicing', 'numRecords': 1}, {'term': 'program testing', 'numRecords': 1}, {'term': 'program verification', 'numRecords': 1}, {'term': 'program visualisation', 'numRecords': 1}, {'term': 'quality assurance', 'numRecords': 1}, {'term': 'software product lines', 'numRecords': 1}, {'term': 'software quality', 'numRecords': 1}, {'term': 'software tools', 'numRecords': 8}, {'term': 'software engineering', 'numRecords': 7}, {'term': 'object-oriented databases', 'numRecords': 5}, {'term': 'programming environments', 'numRecords': 3}, {'term': 'XML', 'numRecords': 2}, {'term': 'graph theory', 'numRecords': 2}, {'term': 'open systems', 'numRecords': 2}, {'term': 'software portability', 'numRecords': 2}, {'term': 'specification languages', 'numRecords': 2}, {'term': 'systems analysis', 'numRecords': 2}]",
